Row,Sample.ID,CSS,Farm,Field,Country,Particles.map,Particles.Map.ha,Weight.map,Kg.ha.weight.map,Particles.Mip,Area.Mip,Near.house,Near.road,Near.fields,Fence,Forest,Landfill,Industry,Crop.2022,Crop.2021,Crop.2020,Crop.2019,Crop.2018,CropDominant3,CropDominant4,Plastic,Org.fertilizer,Coating,Pesticide,Animal.manure,Compost,Cow.manure,Green.manure,Compost.manure,Chicken.manure,Orther.fert,Mulch,Irrig.pipe,Rope,Transplant.trays,Sprinkler,Tunnel,Net,Biodegradable,Perception,PH,Clay.per,Sand.per,Silt.per,OM.content,Size.m2,Slope,Road.speed,Road.distance.m,Fence.type,Forest.distance.m,Landfill.distance.m,Industry.distance
117,CSS06.11.1,6,11,1,Austria,0.5,5000,100,0.25,0.6666667,13142.4,no,yes,no,no,no,na,yes,other_vegetable,arable_crops,arable_crops,other_vegetable,arable_crops,arable_crops,mixed,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,small,7.6,22.15,24.85,53,4,65000,0,road_50,100,,,na,na
118,CSS06.11.2,6,11,2,Austria,0.5,5000,1267.2,3.17,0,0,no,yes,no,no,no,no,yes,other_vegetable,arable_crops,other_vegetable,other_vegetable,arable_crops,other_vegetable,mixed,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,small,7.67,25.95,20.65,53.45,3.7,15000,0,road_less_50,10,,,na,1000
119,CSS07.01.1,7,1,1,Italy,0,0,0,0,290.6666667,43963956.48,no,no,yes,no,no,no,no,arable_crops,greenhouse_vegetable,arable_crops,arable_crops,arable_crops,arable_crops,arable_crops,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,small-medium,6.93,68.58,3.13,28.28,1.44,65000,0,no,,,,na,na
120,CSS07.01.2,7,1,2,Italy,0,0,0,0,1,118281.6,no,yes,yes,no,no,no,no,greenhouse_vegetable,arable_crops,arable_crops,greenhouse_vegetable,arable_crops,arable_crops,mixed,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,small-medium,6.94,64.76,2,33.24,1.33,1.00E+05,0,road_more_80,50,,,na,na
121,CSS07.02.1,7,2,1,Italy,0.25,2500,29.2,0.07,1,7885.44,no,no,yes,no,no,no,no,arable_crops,arable_crops,arable_crops,greenhouse_vegetable,arable_crops,arable_crops,arable_crops,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,small-medium,7.37,17.19,37.64,45.17,1.005,1.00E+05,0,no,,,,na,na
122,CSS07.02.2,7,2,2,Italy,0,0,0,0,7,268104.96,no,no,yes,no,no,no,no,arable_crops,arable_crops,arable_crops,arable_crops,arable_crops,arable_crops,arable_crops,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,small-medium,7.335,27.5,15.34,57.16,1.065,65000,0,no,,,,na,na
123,CSS07.03.1,7,3,1,Italy,2.75,27500,589.98,1.47,2,55198.08,no,yes,yes,no,no,no,no,greenhouse_vegetable,arable_crops,greenhouse_vegetable,arable_crops,arable_crops,arable_crops,mixed,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,small,6.76,40.29,11.1,48.6,1.305,120000,0,road_50,50,,,na,na
124,CSS07.03.2,7,3,2,Italy,0,0,0,0,0,0,no,yes,yes,no,no,no,no,greenhouse_vegetable,arable_crops,greenhouse_vegetable,arable_crops,greenhouse_vegetable,greenhouse_vegetable,mixed,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,small,6.925,33.56,13.1,53.34,1.795,40000,0,road_50,50,,,na,na
125,CSS07.04.1,7,4,1,Italy,0.25,2500,555.9,1.39,0,0,no,yes,yes,no,no,no,no,greenhouse_vegetable,arable_crops,greenhouse_vegetable,arable_crops,greenhouse_vegetable,greenhouse_vegetable,mixed,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,small,6.735,40.25,6.32,53.43,1.47,1.00E+05,0,road_50,50,,,na,na
126,CSS07.04.2,7,4,2,Italy,0,0,0,0,0,0,no,yes,yes,no,no,no,no,greenhouse_vegetable,arable_crops,greenhouse_vegetable,arable_crops,greenhouse_vegetable,greenhouse_vegetable,mixed,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,small,5.8,33.82,16.37,49.81,1.265,43000,0,road_50,50,,,na,na
127,CSS07.05.1,7,5,1,Italy,0.5,5000,415.6,1.04,1,70968.96,no,yes,yes,no,no,no,no,greenhouse_vegetable,arable_crops,greenhouse_vegetable,arable_crops,greenhouse_vegetable,greenhouse_vegetable,mixed,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,medium-large,5.99,44.48,8.62,46.9,1.285,13000,0,road_50,50,,,na,na
128,CSS07.05.2,7,5,2,Italy,0,0,0,0,0,0,no,yes,yes,no,no,no,no,greenhouse_vegetable,arable_crops,greenhouse_vegetable,arable_crops,greenhouse_vegetable,greenhouse_vegetable,mixed,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,medium-large,5.385,41.05,22.09,36.86,0.965,11000,0,road_50,50,,,na,na
